Date,Open,High,Low,Close,Adj Close,Volume
03/03/2017,7382.399902,7382.399902,7353.600098,7374.299805,7374.299805,850603100
06/03/2017,7374.299805,7374.299805,7338.899902,7350.100098,7350.100098,738066600
07/03/2017,7350.100098,7363.700195,7335.299805,7339,7339,844760300
08/03/2017,7339,7354.5,7315.899902,7334.600098,7334.600098,866234700
09/03/2017,7334.600098,7336.299805,7263.600098,7315,7315,1045803400
10/03/2017,7315,7373,7315,7343.100098,7343.100098,919722100
13/03/2017,7343.100098,7377.399902,7342,7367.100098,7367.100098,687295500
14/03/2017,7367.100098,7386.200195,7339.299805,7357.899902,7357.899902,842511400
15/03/2017,7357.899902,7383.299805,7357.600098,7368.600098,7368.600098,833084500
16/03/2017,7368.600098,7444.600098,7368.600098,7416,7416,1082219200
17/03/2017,7416,7447,7402.600098,7425,7425,1516668800
20/03/2017,7425,7433.700195,7400,7429.799805,7429.799805,611042100
21/03/2017,7429.799805,7440.899902,7360.700195,7378.299805,7378.299805,846963600
22/03/2017,7378.299805,7378.399902,7301.799805,7324.700195,7324.700195,904591800
23/03/2017,7324.700195,7346.399902,7307.700195,7340.700195,7340.700195,786539600
24/03/2017,7340.700195,7351.600098,7322.899902,7336.799805,7336.799805,633190500
27/03/2017,7336.799805,7336.799805,7255.799805,7293.5,7293.5,779235000
28/03/2017,7293.5,7349.600098,7285.799805,7343.399902,7343.399902,791143500
29/03/2017,7343.399902,7373.700195,7313.899902,7373.700195,7373.700195,779343400
30/03/2017,7373.700195,7384.799805,7340.299805,7369.5,7369.5,760967600
31/03/2017,7369.5,7369.600098,7322.899902,7322.899902,7322.899902,957012600
03/04/2017,7322.899902,7350.299805,7280.799805,7282.700195,7282.700195,746218600
04/04/2017,7282.700195,7324.600098,7282.700195,7321.799805,7321.799805,786153000
05/04/2017,7321.799805,7362.600098,7321.799805,7331.700195,7331.700195,749886800
06/04/2017,7331.700195,7331.700195,7258.100098,7303.200195,7303.200195,887193100
07/04/2017,7303.200195,7349.399902,7284.700195,7349.399902,7349.399902,780587700
10/04/2017,7349.399902,7359.299805,7337,7348.899902,7348.899902,668786200
11/04/2017,7348.899902,7406.399902,7332.600098,7365.5,7365.5,796050600
12/04/2017,7365.5,7402.399902,7348.799805,7349,7349,888411200
13/04/2017,7349,7349,7298.899902,7327.600098,7327.600098,715928200
18/04/2017,7327.600098,7327.600098,7147.5,7147.5,7147.5,1039110900
19/04/2017,7147.5,7151.200195,7114.399902,7114.399902,7114.399902,1018754400
20/04/2017,7114.399902,7127.600098,7096.799805,7118.5,7118.5,830708700
21/04/2017,7118.5,7134.5,7104.200195,7114.600098,7114.600098,896918700
24/04/2017,7114.600098,7273.899902,7114.600098,7264.700195,7264.700195,1027266000
25/04/2017,7264.700195,7290.799805,7258.700195,7275.600098,7275.600098,835369300
26/04/2017,7275.600098,7302.600098,7262.299805,7288.700195,7288.700195,860455200
27/04/2017,7288.700195,7289.399902,7224.399902,7237.200195,7237.200195,1094741200
28/04/2017,7237.200195,7243.299805,7197.299805,7203.899902,7203.899902,1148718800
02/05/2017,7203.899902,7254.299805,7203.899902,7250.100098,7250.100098,910924000
03/05/2017,7250.100098,7250.100098,7218.600098,7234.5,7234.5,766336200
04/05/2017,7234.5,7280.700195,7226.100098,7248.100098,7248.100098,918713600
05/05/2017,7248.100098,7297.399902,7222.799805,7297.399902,7297.399902,881277700
08/05/2017,7297.399902,7322.299805,7285.799805,7300.899902,7300.899902,716672700
09/05/2017,7300.899902,7359.600098,7300.899902,7342.200195,7342.200195,707206200
10/05/2017,7342.200195,7398.600098,7331.299805,7385.200195,7385.200195,822815300
11/05/2017,7385.200195,7396.200195,7369.200195,7386.600098,7386.600098,956757900
12/05/2017,7386.600098,7435.399902,7381.700195,7435.399902,7435.399902,852716600
